CODE,Group,purity,TMB,HRD,LOH,MATH,MSI,NEO,ploidy,SampleName
BLCA,Tumor,0.91,4.08,22,0.115921576,37.02883902,0.3277,114,3.43,TCGA-ZF-A9R4-01
BLCA,Tumor,0.8,1.84,5,0.027950363,16.6380342,0.3269,20,2.03,TCGA-YC-A9TC-01
BLCA,Tumor,0.91,5.42,23,0.122528025,45.24110294,0.3276,40,3.65,TCGA-YF-AA3L-01
BLCA,Tumor,0.56,4.62,51,0.407678638,59.93489362,0.3337,2,2.1,TCGA-XF-A9SJ-01
BLCA,Tumor,0.51,3.26,30,0.341370174,55.61298246,0.324,5,3.54,TCGA-ZF-A9R0-01
BLCA,Tumor,0.66,6.48,53,0.192723264,80.91755545,0.3324,11,3.46,TCGA-BT-A42C-01
BLCA,Tumor,0.8,4.42,29,0.210614735,73.63080808,0.3554,64,5.31,TCGA-GU-A42P-01
BLCA,Tumor,0.64,2.36,28,0.087758597,50.11650259,0.3234,6,3.96,TCGA-2F-A9KP-01
BLCA,Tumor,0.9,1.58,38,0.29140243,32.05621622,0.3389,9,3.6,TCGA-CU-A3QU-01
BLCA,Tumor,0.73,2.16,26,0.279524212,40.53549674,0.3192,2,1.78,TCGA-DK-AA6Q-01
BLCA,Tumor,0.93,1.42,11,0.073000644,28.82257343,0.2963,1,2.07,TCGA-BT-A20P-01
BLCA,Tumor,0.81,3.04,43,0.408646829,42.57986159,0.3604,0,2.71,TCGA-ZF-A9RN-01
BLCA,Tumor,0.95,7.58,57,0.225445828,59.96513356,0.2822,52,3.26,TCGA-GV-A3QI-01
BLCA,Tumor,0.4,1.28,23,0.226558991,37.95725982,0.3213,2,2.07,TCGA-FD-A5BU-01
BLCA,Tumor,0.43,2.8,27,0.181736546,49.73365355,0.3275,1,3.41,TCGA-FD-A3NA-01
BLCA,Tumor,0.93,4.18,33,0.17856969,48.47866667,0.3349,12,1.92,TCGA-DK-AA76-01
BLCA,Tumor,0.93,1.5,3,0.057851426,19.90527778,0.2842,0,1.94,TCGA-DK-A1AA-01
BLCA,Tumor,0.21,2.68,11,0.107374103,35.73168324,0.298,2,2.33,TCGA-FD-A3B3-01
BLCA,Tumor,0.31,2.48,41,0.330752784,47.35013597,0.3282,7,3.13,TCGA-FD-A6TF-01
BLCA,Tumor,0.72,1.36,18,0.045410715,39.76907885,0.2923,0,2.07,TCGA-BT-A20W-01
BLCA,Tumor,0.3,6.8,58,0.180369676,65.96655354,0.3258,7,4.03,TCGA-GU-A767-01
BLCA,Tumor,0.45,11.28,27,0.228783542,55.55223254,0.3398,7,3.19,TCGA-XF-A9T5-01
BLCA,Tumor,0.85,2.7,56,0.165379987,52.22795455,0.323,40,3.2,TCGA-GC-A3RB-01
BLCA,Tumor,0.14,0.34,16,0.035307398,25.09015385,0.3473,3,2.29,TCGA-XF-AAME-01
BLCA,Tumor,0.82,3.84,32,0.237056915,44.15594131,0.3385,2,3.46,TCGA-FD-A6TE-01
BLCA,Tumor,0.16,3.22,4,0.061396171,39.17598675,0.2813,4,2.02,TCGA-BT-A20O-01
BLCA,Tumor,0.79,2.16,22,0.193790509,44.17739592,0.3346,10,1.98,TCGA-E7-A6ME-01
BLCA,Tumor,0.24,0.72,21,0.173787995,44.56149316,0.3403,4,3.54,TCGA-XF-AAMJ-01
BLCA,Tumor,0.4,4.26,14,0.068867864,59.39803383,0.2777,4,3.72,TCGA-CF-A1HR-01
BLCA,Tumor,0.85,1.04,12,0.071186439,24.52265821,0.3227,43,2,TCGA-CF-A9FL-01
BLCA,Tumor,0.63,1.62,0,0.000141094,22.80923077,0.3089,20,2.04,TCGA-H4-A2HO-01
BLCA,Tumor,0.54,5.68,48,0.258002792,48.7908687,0.3483,7,3.43,TCGA-FJ-A3Z7-01
BLCA,Tumor,0.64,6.46,45,0.200536413,42.94768036,0.3309,34,3.22,TCGA-DK-AA6L-01
