SampleName,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,Group,CODE
TCGA-91-6849-01,27.6685847,16.55186609,27990.62673,700.7401403,42.22574998,27.38214162,507.1958771,142.0335037,869.9589113,69.19434681,31.84556464,174.6658927,81.50979554,213.7675265,33.79010719,2092.077748,30.14590774,Tumor,LUAD
TCGA-L9-A8F4-01,30.26477434,19.39182117,15942.5065,653.0435324,80.22274126,35.85332269,310.5674744,109.2208642,1054.330239,46.97272757,26.03345018,9.498912753,2.098272446,255.732498,33.68778568,280.0487702,12.21122652,Tumor,LUAD
TCGA-97-7938-01,22.34308512,24.10852587,8961.899624,980.3084807,54.29096094,80.30594273,617.4305378,237.9022648,490.426996,102.5229566,58.61625772,226.4140058,82.67148035,156.3338193,25.83307528,2283.698776,65.92576637,Tumor,LUAD
TCGA-55-6972-01,1.561261807,4.211562602,23400.07499,275.2183318,58.73069069,62.01623213,76.20268884,74.66041142,15.69682607,32.66708187,17.99240255,12.15357055,4.750813213,204.643522,1.558509618,313.1559958,18.62202121,Tumor,LUAD
TCGA-50-5931-01,4.914275278,13.85001495,10958.91965,424.9377457,396.9604656,172.320567,191.7903107,71.28954313,1257.979764,41.04223734,27.59668999,14.42647962,4.514682461,343.0069925,12.88397104,237.8871481,9.355826427,Tumor,LUAD
TCGA-L9-A444-01,20.43691071,22.23005975,9075.873533,1651.311116,64.56319914,49.8252748,154.3485119,145.2409924,1115.836354,111.0475147,23.70899159,6.360766259,1.603268536,104.6795687,21.63952845,132.6111993,6.578479554,Tumor,LUAD
TCGA-35-4122-01,194.1412281,22.79499082,29126.86934,808.35995,75.07064488,99.28886062,300.6145963,101.7048227,1121.1518,0.871446882,18.87189623,7.373429829,3.487481966,59.16077545,29.43120104,227.3964099,4.058383227,Tumor,LUAD
TCGA-97-A4M6-01,42.97166755,14.37812326,12489.95647,2234.636727,77.05350841,55.68950852,261.896239,450.4528411,1289.6369,46.38908218,55.69981827,4.255306658,3.824193316,126.8251769,25.91031926,182.4616306,6.949426242,Tumor,LUAD
TCGA-55-8513-01,75.97795037,9.730769901,28368.00931,1341.144903,53.04382262,68.4422943,569.8866932,344.9112254,1838.303341,36.97649814,40.05046648,17.10748258,2.568490786,158.6164463,226.3229739,745.6316949,6.763419739,Tumor,LUAD
TCGA-64-1677-01,31.3977768,20.28487123,8636.475684,724.4896878,171.641443,39.51364122,95.6821772,144.8565598,275.6810594,25.04156347,16.24864545,5.75564685,1.205398113,144.290468,13.56863647,162.0286888,5.027120261,Tumor,LUAD
TCGA-86-8074-01,35.3041661,11.99936395,8496.01257,1320.87813,83.97197967,43.84064233,441.9331217,283.2096237,409.8899414,22.45195814,72.41195489,14.04098549,3.601576156,103.404949,11.87937302,268.9733237,5.198197741,Tumor,LUAD
TCGA-95-A4VP-01,22.52346277,16.40085512,11559.5637,710.8331254,80.59365776,88.20292186,343.9803779,159.1343795,156.3542999,32.84370731,17.71614944,12.32624049,9.861824968,212.3163949,19.69277359,955.8413812,9.828253299,Tumor,LUAD
TCGA-78-7147-01,10.81075119,9.832246344,11708.7791,1868.486155,119.3635661,38.89610861,140.9349028,191.4809866,332.6674806,49.59174744,25.92368721,6.308177172,0.765645536,131.0573674,13.72722729,153.0786467,4.974998899,Tumor,LUAD
TCGA-75-6214-01,19.60725568,11.53835582,3827.712929,958.6675378,89.01533609,11.47368247,242.9026707,40.26276637,81.00198189,24.81807223,35.39315059,6.491196067,0.446532467,41.33448536,7.718808133,162.6558805,5.146534761,Tumor,LUAD
TCGA-05-4427-01,32.03478097,8.713771954,9286.843719,717.0990086,228.0393597,28.67338123,227.8584337,176.5490504,1116.236492,44.20538148,53.64732976,19.1205095,6.073234998,99.91248926,25.80555321,226.0022969,5.010418873,Tumor,LUAD
TCGA-97-A4M1-01,25.46238196,5.819360589,14246.05031,1735.293173,41.12989051,75.76689169,391.7837992,188.1280609,2590.790855,73.99912652,33.70642189,11.27284266,0.840305288,144.7281028,11.34813075,231.3460794,8.908852587,Tumor,LUAD
TCGA-95-7562-01,20.3849211,4.378446454,9530.935619,1060.922379,175.7644254,29.24942033,197.4412633,486.9872441,314.4479001,19.2348168,41.34001015,20.43635262,2.594306545,234.5500012,7.916176423,156.8348867,5.871673857,Tumor,LUAD
