CODE,Group,hsa-mir-106b,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-130b,hsa-mir-146a,hsa-mir-150,hsa-mir-155,hsa-mir-221,hsa-mir-3185,hsa-mir-4256,hsa-mir-4746,hsa-mir-511,hsa-mir-548f-1,hsa-mir-5682,hsa-mir-6127,hsa-mir-6863,hsa-mir-7-3,SampleName
LUAD,Tumor,8.975675009,5.602627075,4.973943902,4.937676776,8.056709043,10.38275119,10.21769519,6.667380749,0,0,1.740088676,3.983999575,0,0,0,0,0,TCGA-05-4422-01
LUAD,Tumor,9.360154523,6.785316605,6.620663865,6.507315221,5.309783478,8.137968621,7.367537544,5.95352707,0,0,1.92155782,4.17805257,0.45604492,0,0,0,0.45604492,TCGA-05-4390-01
LUAD,Tumor,9.104531442,6.083040022,5.700890601,3.977995964,6.617622471,10.24895481,8.385648366,8.411213686,0,0,0.593487635,5.480179282,0.466410993,0,0,0,0.91881211,TCGA-91-6830-01
LUAD,Tumor,8.490765816,5.677581136,5.59496031,2.743641201,6.858570551,9.828307212,8.847158337,8.879067708,0,0,0.52434055,2.171913588,0,0,0,0,0.52434055,TCGA-55-7725-11A
LUAD,Tumor,10.10641605,7.330916878,7.196062597,5.885634126,6.680198031,9.556506055,8.126862474,7.582660453,0,0,2.637955636,3.745039688,0,1.205468837,0,0,3.597178472,TCGA-44-7669-01
LUAD,Tumor,9.63206189,6.330216885,5.720012341,6.104010297,7.891245979,9.91415061,10.23196445,8.549977478,0,0,2.34890148,4.926888917,1.776646845,0,0,0,0.814111499,TCGA-50-5066-01
LUAD,Tumor,8.425603471,5.801235213,5.463417487,3.660064712,7.52726046,9.729909634,8.365909794,8.194828062,0,0,1.982326291,4.381233251,0,0,0,0,0.988241859,TCGA-64-5815-01
LUAD,Tumor,8.617778088,6.279494492,5.833486837,3.381268835,6.829192677,8.41757444,8.636471176,7.533457159,0,0,2.726588205,4.870842284,0.220653132,0,0,0,0,TCGA-50-5939-01
LUAD,Tumor,9.604599628,6.03206881,5.683625244,6.554929272,6.949637097,8.116651766,8.034878508,7.206322667,0,0,2.588486304,4.798491242,0.586372767,0,0,0,1.324466158,TCGA-MN-A4N1-01
LUAD,Tumor,10.41094464,6.110811844,5.789603023,6.089660216,8.169678144,10.650184,9.936588025,7.365896478,0,0,1.197373508,5.206437127,0,0.364440203,0,0,1.445880816,TCGA-55-6969-01
LUAD,Tumor,9.524985123,6.651041915,6.382706899,5.17995633,7.144007425,10.31324247,9.649192423,8.726033108,0,0,3.208552999,4.701381158,0,0,0,0,1.095678044,TCGA-80-5611-01
LUAD,Tumor,9.807242383,6.015606685,5.293431405,6.388963056,8.514359536,8.533085723,9.295554335,8.456676857,0,0,0,7.621066401,0,0,0,0,0,TCGA-44-2662-01
LUAD,Tumor,7.546314156,5.828939903,5.675994169,3.934948302,5.826519252,8.146035262,7.971887225,8.382332017,0,0,1.16276625,2.17823531,0,0,0,0,0.737323338,TCGA-05-5429-01
LUAD,Tumor,8.993634654,7.004451571,6.671192853,5.716209241,7.118823089,9.125490527,9.300240845,8.780624988,0,0,1.921302643,5.629505108,0,0,0,0,1.418237992,TCGA-38-4632-01
LUAD,Tumor,8.593340242,6.112926693,5.711949807,4.311890911,7.805542803,9.084307008,9.003091314,8.25439166,0,0,0.60098236,6.974929428,0,0,0,0,0,TCGA-O1-A52J-01
LUAD,Tumor,8.548298167,5.68214447,5.296669501,3.95796668,6.588223196,8.120834535,7.69940726,7.094994996,0,0,0.392537245,4.969561367,0.209578134,0,0,0,0.5548835,TCGA-75-6206-01
LUAD,Tumor,10.36948578,7.068164489,6.622435203,7.76677246,6.142853613,7.454772535,7.499889414,8.524564144,0,0,2.588716314,3.137846779,1.691163394,0,0,0,1.92085045,TCGA-50-5946-02A
LUAD,Tumor,8.996461091,6.354450468,6.0414895,6.0414895,6.122734293,8.003676967,7.452328743,5.278368572,0,0,2.267751812,2.415771103,0.230746535,0,0,0,0.760235427,TCGA-64-5774-01
LUAD,Tumor,8.40329225,5.5546577,5.613119059,4.10416663,7.388147871,9.752768924,9.954655723,7.337032136,0,0,1.844657212,4.157520109,1.199020845,0,0,0,0.720645332,TCGA-05-4418-01
LUAD,Tumor,10.2590035,6.245323606,5.658387052,6.590809945,8.225180164,10.39199888,9.987650944,8.287834623,0,0,0,5.474721926,1.142391871,0,0,0,1.142391871,TCGA-64-1677-01
LUAD,Tumor,9.835850575,7.096550696,6.601137602,5.597098629,6.064619197,8.559712808,6.991329062,6.480140416,0,0,2.211823365,4.621285713,0,0,0,0,0.447060738,TCGA-55-8507-01
LUAD,Tumor,7.657160261,6.286754204,5.779699161,3.923248558,7.095731869,9.839729415,8.548296518,8.109457453,0,0,0.901197081,3.358193685,0,0,0,0,0.194846033,TCGA-86-8668-01
LUAD,Tumor,8.089066063,6.277757319,5.653281192,4.051126092,7.898159312,10.84071031,10.11241253,6.561678045,0,0,1.200440322,5.006941841,1.200440322,0,0,0,0,TCGA-49-4506-01
LUAD,Tumor,8.674417064,5.304609494,5.181321046,4.800577528,5.256550875,7.384295348,7.237280958,7.154470818,0,0,0,2.627495247,0,0,0,0,0,TCGA-49-4510-01
LUAD,Tumor,8.46725907,6.113299998,5.718691696,3.746855449,7.191571435,10.5743129,8.630892273,7.760244137,0,0,1.93876868,4.86393092,0,0,0,0,0.284493997,TCGA-78-8655-01
LUAD,Tumor,9.658062679,6.90656867,6.560306311,5.730307908,8.401898276,11.45546337,10.33169267,8.382198206,0,0,1.87325412,4.642252002,0.374013397,0.374013397,0,0,0.374013397,TCGA-55-6979-01
LUAD,Tumor,7.820680486,5.200949281,4.790624164,3.568343114,6.918474027,7.402670126,8.0317777,6.264501864,0,0,0.846968219,4.251795883,0,0.969720399,0,0,0.564846389,TCGA-44-A47F-01
LUAD,Tumor,10.66592642,7.569469294,6.925125279,6.915758402,6.46430946,9.356969707,7.44313532,5.78318763,0,0,3.299797653,2.611655637,0,0.668892471,0,0,0.668892471,TCGA-91-8499-01
LUAD,Tumor,9.734207621,5.958096711,5.679529052,4.950710694,7.565269425,10.47004889,9.100830265,6.771093727,0,0,2.252226408,3.597449771,0.460918664,0,0,0,0.809690197,TCGA-50-7109-01
LUAD,Tumor,8.201405354,5.456128364,4.933050605,4.949766306,7.722634862,7.264244419,8.196161149,8.158908047,0,0,1.475114463,5.55776153,0,0,0,0,0,TCGA-97-8547-01
LUAD,Tumor,10.29270323,7.451819809,7.350325802,6.051039756,8.326593064,10.76738662,9.611936405,8.721170488,0,0,1.329804445,4.370018748,0.899147008,0,0,0,2.009838379,TCGA-49-4514-01
LUAD,Tumor,10.05101125,5.935012231,5.874636584,4.147058358,6.551194098,8.993258834,8.099727201,7.679105569,0,0,1.172340934,4.213564797,0,0,0,0,0.876445829,TCGA-78-7153-01
LUAD,Tumor,9.189361229,6.554303784,6.306131247,4.831226717,8.32570947,10.93440378,10.24280664,7.648139728,0,0,1.739759551,4.757179992,0,0,0,0,0.492541322,TCGA-55-6971-01
LUAD,Tumor,7.937485323,5.72478084,4.817711914,4.995294333,6.347485202,8.422218702,8.014449587,6.610541668,0,0,1.228538588,2.330525702,0,0,0,0,0.41772994,TCGA-MN-A4N4-01
LUAD,Tumor,10.15220147,7.121061666,6.695020334,5.807025409,7.205067317,10.10972275,9.510437955,6.465817604,0,0,1.306187565,4.506199374,0,2.470238534,0,0,2.73248803,TCGA-55-6968-01
LUAD,Tumor,9.006487859,6.93749587,6.322331362,4.642520848,6.93749587,10.29334412,8.967116348,7.084736788,0,0,1.888156409,3.432073481,0,0.744509884,0,0,1.23315794,TCGA-49-AARE-01
LUAD,Tumor,9.548156998,6.637771187,6.326427168,4.289544348,9.293825343,11.19837681,8.867961903,9.579840161,0,0,1.730969429,5.04817222,0,0,0,0,0,TCGA-69-8254-01
LUAD,Tumor,9.71228431,6.234611526,5.886048604,5.383445137,8.235831951,10.95282725,10.46793654,9.311200207,0,0,1.747174256,5.417941807,0,0,0,0,0.153465533,TCGA-49-6761-01
LUAD,Tumor,8.329901356,5.278070897,4.5415193,4.384357659,7.045555491,9.883450309,8.232643558,10.08264816,0,0,0.285119275,4.778196536,0,0,0,0,0.285119275,TCGA-50-8459-01
LUAD,Tumor,9.762966706,7.436411514,7.158798249,4.503116728,6.860018469,9.721753769,8.083335753,9.493537483,0,0,2.020991758,4.494631294,0,0,0,0,0.73545199,TCGA-69-7980-01
LUAD,Tumor,8.836650839,5.83689181,5.391108075,4.668177344,6.273371296,10.35444921,7.954982063,7.301434727,0,0,0.823172167,4.880872094,0,0,0,0,0.253775114,TCGA-69-8253-01
LUAD,Tumor,10.45261178,7.242694167,6.590466899,5.621511931,8.736702356,11.39481133,8.543613546,7.989909651,0,0,2.633853843,4.233642453,0.630485619,0,0,0,0.349413971,TCGA-95-7947-01
LUAD,Tumor,9.987459827,7.171837458,6.92767092,6.814174705,7.989472212,10.28787826,8.07048361,9.047145389,0,0,2.845621318,3.970750417,0,0,0,0,0,TCGA-62-8394-01
LUAD,Tumor,8.4581079,6.386344288,6.112734928,4.308727677,7.130379584,10.76335115,8.191368281,8.295766327,0,0,2.337617478,5.487796117,0,0,0,0,0,TCGA-95-8039-01
LUAD,Tumor,9.910623288,6.047246435,5.851284781,4.82071774,7.232826648,11.575874,8.881572071,8.288425084,0,0,1.306578979,5.806405703,0,0,0,0,0.198310583,TCGA-55-6986-01
LUAD,Tumor,9.58280158,6.555166888,5.975242591,4.94290724,6.751138039,9.445164429,7.683317859,7.886749041,0,0,2.251735148,4.357331361,0,0,0,0,0,TCGA-97-8176-01
LUAD,Tumor,9.447396654,6.279058096,5.832770721,5.417453736,7.978742527,11.69049357,10.94286646,9.433237074,0,0,1.515824457,5.231607819,0,0,0,0,0.695881599,TCGA-49-AAR4-01
LUAD,Tumor,8.390487759,4.842003049,4.057064982,3.89144806,6.879459497,7.320688143,7.909877007,7.389612592,0,0,1.139799516,4.057064982,0,0,0,0,0,TCGA-35-3615-01
