CODE,Group,DMPss,DNAss,ENHss,EREG.EXPss,EREG-METHss,RNAss,SampleName
BLCA,Tumor,0.157778772,0.323374559,0.407502932,0.57223155,0.441335543,0.338444594,TCGA-DK-A1AA-01
BLCA,Tumor,0.094808833,0.196121763,0.221666205,0.560535321,0.286471849,0.404648585,TCGA-FD-A3B3-01
BLCA,Tumor,0.083114302,0.173425575,0.167995151,0.639032689,0.25615624,0.3381918,TCGA-FD-A6TF-01
BLCA,Tumor,0.102806489,0.19495475,0.18832083,0.677653336,0.284691899,0.425218255,TCGA-BT-A20W-01
BLCA,Tumor,0.076696076,0.160559803,0.144385523,0.857329071,0.240662981,0.398305396,TCGA-GU-A767-01
BLCA,Tumor,0.066530093,0.153874548,0.138578697,0.595476814,0.24215847,0.481470952,TCGA-XF-A9T5-01
BLCA,Tumor,0.179236822,0.281794876,0.286274586,0.879516322,0.386088152,0.573067101,TCGA-GC-A3RB-01
BLCA,Tumor,0.080116515,0.167323078,0.197200201,0.656805053,0.233460931,0.224144093,TCGA-XF-AAME-01
BLCA,Tumor,0.085570158,0.184915913,0.143239205,0.639669507,0.282806803,0.436924291,TCGA-FD-A6TE-01
BLCA,Tumor,0.074261268,0.148681118,0.192802125,0.601626411,0.20856428,0.397009387,TCGA-BT-A20O-01
BLCA,Tumor,0.109361255,0.214752331,0.221239788,0.630951549,0.30789283,0.507766034,TCGA-E7-A6ME-01
BLCA,Tumor,0.091211908,0.178795957,0.201895575,0.745249649,0.248011457,0.209542549,TCGA-XF-AAMJ-01
BLCA,Tumor,0.094389396,0.198048541,0.247924422,0.702406501,0.279020647,0.402101288,TCGA-CF-A1HR-01
BLCA,Tumor,0.15885712,0.306028153,0.369033421,0.683344712,0.417426317,0.279242875,TCGA-CF-A9FL-01
BLCA,Tumor,0.120273464,0.223949114,0.232306102,0.602471703,0.318262962,0.309553741,TCGA-H4-A2HO-01
BLCA,Tumor,0.064105225,0.159177758,0.167042964,0.550996099,0.240112817,0.269740027,TCGA-FJ-A3Z7-01
BLCA,Tumor,0.137642205,0.263111511,0.269930491,0.632690198,0.36950964,0.412334633,TCGA-DK-AA6L-01
BLCA,Tumor,0.171584471,0.299216307,0.379213817,0.519200609,0.39443796,0.453835136,TCGA-BT-A3PJ-01
BLCA,Tumor,0.068972033,0.162210458,0.208060909,0.309199049,0.235482052,0.31448815,TCGA-K4-A5RH-01
BLCA,Tumor,0.109664897,0.208469361,0.273683883,0.62694712,0.278172702,0.449137698,TCGA-BT-A0YX-01
BLCA,Tumor,0.15224805,0.281786723,0.311602565,0.61120049,0.381628346,0.257082084,TCGA-XF-A9SK-01
BLCA,Tumor,0.125900586,0.27291538,0.30237927,0.666557869,0.389269167,0.425838469,TCGA-UY-A9PH-01
BLCA,Tumor,0.082980191,0.191079679,0.184141212,0.464819176,0.291341462,0.294666014,TCGA-ZF-A9RC-01
BLCA,Tumor,0.070830275,0.176025284,0.196027552,0.680354328,0.262804389,0.286190973,TCGA-DK-AA74-01
BLCA,Tumor,0.072590166,0.148639622,0.159774096,0.418058379,0.217629896,0.296533395,TCGA-XF-A9SX-01
BLCA,Tumor,0.075106398,0.225915639,0.252224801,0.64867796,0.343346773,0.475714321,TCGA-XF-AAN1-01
BLCA,Tumor,0.100780714,0.276506643,0.267647512,0.514906503,0.423881135,0.394580482,TCGA-FD-A43X-01
BLCA,Tumor,0.059451854,0.164194839,0.167522804,0.707386483,0.254992809,0.238705511,TCGA-K4-A3WS-01
BLCA,Tumor,0.070786797,0.135757498,0.129262169,0.676544,0.201434722,0.46591986,TCGA-G2-AA3D-01
BLCA,Tumor,0.167093643,0.310132621,0.308204265,0.808084727,0.429704155,0.457835408,TCGA-GU-AATQ-01
BLCA,Tumor,0.074768777,0.239998655,0.273708675,0.646423114,0.371746483,0.363256573,TCGA-GD-A3OQ-01
BLCA,Tumor,0.085348603,0.207397728,0.215995799,0.570771219,0.319008783,0.470004391,TCGA-DK-A3WW-01
BLCA,Tumor,0.149258594,0.312564424,0.316724549,0.688505536,0.444071237,0.545281328,TCGA-PQ-A6FI-01
BLCA,Tumor,0.116690401,0.225452478,0.270217099,0.739353271,0.310963103,0.229059099,TCGA-BL-A5ZZ-01
BLCA,Tumor,0.191735359,0.355436184,0.396402397,0.582601402,0.477057661,0.480105299,TCGA-E7-A5KE-01
BLCA,Tumor,0.082734014,0.179707691,0.174835889,0.716758346,0.273446997,0.181786401,TCGA-FD-A3SQ-01
BLCA,Tumor,0.1144369,0.233029074,0.268667493,0.591474806,0.319987142,0.370546978,TCGA-DK-A1AG-01
BLCA,Tumor,0.104285343,0.204618596,0.200564976,0.810362372,0.296569047,0.411856841,TCGA-DK-A3IT-01
BLCA,Tumor,0.065553183,0.136339484,0.160731462,0.613976233,0.19729832,0.197270985,TCGA-XF-AAMR-01
BLCA,Tumor,0.163275641,0.266975911,0.316173232,0.726260025,0.34881808,0.347703345,TCGA-HQ-A5NE-01
BLCA,Tumor,0.119688777,0.213454615,0.256599955,0.603146951,0.288407237,0.27069986,TCGA-ZF-AA52-01
BLCA,Tumor,0.077554546,0.161916541,0.190989098,0.620897506,0.238322545,0.424835479,TCGA-E7-A541-01
BLCA,Tumor,0.181316728,0.29798046,0.364095991,0.553455931,0.38921479,0.494146995,TCGA-UY-A8OB-01
BLCA,Tumor,0.040390779,0.113240742,0.131662406,0.64560206,0.178563716,0.408226666,TCGA-XF-AAN5-01
BLCA,Tumor,0.085747075,0.207509299,0.249432671,0.707859567,0.300776456,0.353305354,TCGA-E7-A97P-01
BLCA,Tumor,0.10483338,0.229044859,0.211815473,0.635511762,0.338910089,0.427435158,TCGA-GC-A3RD-01
BLCA,Tumor,0.099751957,0.201996914,0.2301092,0.675964188,0.291939674,0.492192671,TCGA-E7-A7XN-01
BLCA,Tumor,0.115783005,0.212611394,0.218228773,0.645036444,0.307448345,0.414603223,TCGA-GV-A3JX-01
BLCA,Tumor,0.083399219,0.23470779,0.346243319,0.435297896,0.322413478,0.276463401,TCGA-4Z-AA83-01
